word	link
문장	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
배부르다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631916/MOV000244936_700X466.mp4
부르다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631916/MOV000244936_700X466.mp4
불화	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735047/MOV000252939_700X466.mp4
입장을 바꾸다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629735/MOV000256620_700X466.mp4
(불빛을)켜다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735720/MOV000247748_700X466.mp4
폴란드	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213222/MOV000235921_700X466.mp4
토요일	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731426/MOV000234691_700X466.mp4
땅	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
육지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
토지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
삼키다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005894/MOV000359896_700X466.mp4
드레스	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735712/MOV000240883_700X466.mp4
주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
내밀다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
내주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
건네주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
제공	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
교부	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
어지럽다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734973/MOV000254997_700X466.mp4
어마어마하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735664/MOV000254979_700X466.mp4
육군	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733331/MOV000256052_700X466.mp4
배낭	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004452/MOV000359640_700X466.mp4
고등학교	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733269/MOV000250216_700X466.mp4
고교	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733269/MOV000250216_700X466.mp4
까다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631878/MOV000250152_700X466.mp4
벗기다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631878/MOV000250152_700X466.mp4
문인	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160104/240103/MOV000250695_700X466.mp4
문어	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734935/MOV000250689_700X466.mp4
아프리카	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160108/242858/MOV000256146_700X466.mp4
