,word	link
127,고급	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001959/MOV000359536_700X466.mp4
128,문법	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009677/MOV000359987_700X466.mp4
129,글월	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
130,문	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
131,문구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
132,문장	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632018/MOV000249178_700X466.mp4
133,배부르다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631916/MOV000244936_700X466.mp4
134,부르다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631916/MOV000244936_700X466.mp4
135,불화	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735047/MOV000252939_700X466.mp4
136,입장을 바꾸다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629735/MOV000256620_700X466.mp4
137,(불빛을)켜다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735720/MOV000247748_700X466.mp4
138,폴란드	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213222/MOV000235921_700X466.mp4
139,토요일	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731426/MOV000234691_700X466.mp4
140,땅	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
141,육지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
142,토지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733645/MOV000251206_700X466.mp4
143,삼키다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005894/MOV000359896_700X466.mp4
144,드레스	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735712/MOV000240883_700X466.mp4
145,주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
146,내밀다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
147,내주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
148,건네주다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
149,제공	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
150,교부	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629649/MOV000259522_700X466.mp4
151,어지럽다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734973/MOV000254997_700X466.mp4
152,어마어마하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735664/MOV000254979_700X466.mp4
153,육군	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733331/MOV000256052_700X466.mp4
154,배낭	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004452/MOV000359640_700X466.mp4
155,고등학교	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733269/MOV000250216_700X466.mp4
156,고교	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733269/MOV000250216_700X466.mp4
157,까다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631878/MOV000250152_700X466.mp4
158,벗기다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631878/MOV000250152_700X466.mp4
159,문인	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160104/240103/MOV000250695_700X466.mp4
160,문어	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734935/MOV000250689_700X466.mp4
161,아프리카	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160108/242858/MOV000256146_700X466.mp4
